,Station,Dip,Azimuth,GHS,GTF,DLS,Easting,Northing,Elevation,UpDown,LeftRight,Shortfall,GravField,Drift check,Accumulated roll,Accumulated roll (rev),Roll to station,Roll to station (rev),Time to station,Temperature,Battery,Station acc.,Station rate,Station Quality,Max. rate,Motion Quality,Unnamed: 26,Deviation
0,0,-72.4043,90.0,91.4285,91.4285,0.0,620852.882,4631519.595,1359.558,0.0,0.0,0.0,0.9976,Yes,17.6078,0.0489,-10.4439,-0.028999999999999998,28.0166,14.2615,7.796,0.002,0.0005,100,0.6257,100.0,,0.0
1,3,-72.0146,89.9921,101.8784,101.8724,3.8974,620853.7986,4631519.5951,1356.7015,0.0102,-0.0001,0.9166,0.9972,Yes,28.0517,0.0779,26.4207,0.0734,28.1887,14.2145,7.7996,0.0012,0.001,100,0.4222,99.9425,,0.010969273072464775
2,6,-71.6686,90.85,74.7977,75.4517,4.3724,620854.7335,4631519.5881,1353.8509,0.0396,0.0069,1.8515,0.9976,Yes,1.631,0.0045,2.7055,0.0075,28.1395,14.1697,7.8019,0.001,0.0004,100,0.2062,100.0,,0.007413446776220458
3,9,-71.2351,91.8174,71.1548,72.7462,5.3164,620855.6875,4631519.5658,1351.0067,0.0894,0.0292,2.8056,0.9981,Yes,-1.0745,-0.003,-3.5105,-0.0098,28.4426,14.125,7.8031,0.001,0.0009,100,0.1495,100.0,,0.03889473927684032
4,12,-70.993,93.0357,73.6145,76.2567,4.6271,620856.6576,4631519.5247,1348.1683,0.1565,0.0704,3.7763,0.9981,Yes,2.436,0.0068,0.5446,0.0015,28.0003,14.0805,7.8061,0.001,0.0004,100,0.1916,100.0,,0.10006156785506465
5,15,-70.7142,94.6334,71.5014,75.7121,5.9352,620857.6393,4631519.4588,1345.3342,0.2367,0.1362,4.7592,0.9981,Yes,1.8914,0.0053,0.0917,0.0003,28.2788,14.0299,7.8095,0.001,0.0003,100,0.129,100.0,,0.1876524855938493
6,18,-70.5931,95.7574,70.3695,75.6204,3.9155,620858.629,4631519.3688,1342.5036,0.3268,0.2263,5.7514,0.998,Yes,1.7997,0.005,-3.6813,-0.0102,28.287,13.9745,7.8115,0.0009,0.0006,100,0.2081,100.0,,0.29908818995757996
7,21,-70.62899999999999,95.9005,73.9362,79.3017,0.5956,620859.6198,4631519.2676,1339.6738,0.4191,0.3274,6.7457,0.9979,Yes,5.481,0.0152,-3.7122,-0.0103,28.1887,13.9293,7.8143,0.0009,0.0004,100,0.1704,100.0,,0.42030515969089194
8,24,-70.8552,95.8067,77.7687,83.0139,2.2826,620860.6041,4631519.1667,1336.8416,0.505,0.4283,7.7339,0.9977,Yes,9.1932,0.0255,1.9452,0.0054,28.2788,13.8748,7.816,0.0009,0.0003,100,0.1905,100.0,,0.5373639980388685
9,27,-71.0154,95.6226,75.975,81.0687,1.7114,620861.5791,4631519.0691,1334.0062,0.5811,0.5259,8.713,0.9978,Yes,7.247999999999999,0.0201,0.0298,0.0001,28.287,13.8179,7.8198,0.0009,0.0003,100,0.1704,100.0,,0.646291217604774
10,30,-71.0704,95.7667,75.7669,81.039,0.7224,620862.5489,4631518.9724,1331.1689,0.6517,0.6226,9.6869,0.9979,Yes,7.2183,0.0201,-2.0636,-0.0057,28.1395,13.7595,7.8216,0.0009,0.0003,100,0.3916,100.0,,0.7517242836639334
11,33,-70.9723,95.6793,77.8702,83.1025,1.0216,620863.5196,4631518.8751,1328.332,0.7236,0.7199,10.662,0.9981,Yes,9.2818,0.0258,-1.3222,-0.0037,28.1887,13.6984,7.8229999999999995,0.0009,0.0003,100,0.1306,100.0,,0.858561934299834
12,36,-70.8641,96.0433,78.8279,84.4247,1.6082,620864.4953,4631518.775,1325.4968,0.8009,0.8201,11.6422,0.998,Yes,10.604000000000001,0.0295,-1.6665,-0.0046,28.1887,13.6298,7.8262,0.0009,0.0003,100,0.3016,100.0,,0.9708175056159584
13,39,-70.8123,95.9782,80.5628,86.0913,0.5612,620865.4746,4631518.6718,1322.6629999999998,0.8823,0.9232,12.6263,0.9978,Yes,12.2706,0.0341,2.1672,0.006,28.2051,13.5576,7.8303,0.0009,0.0003,100,0.2953,100.0,,1.0878452915114845
14,42,-70.6377,96.2548,78.1427,83.9241,1.9696,620866.4592,4631518.5663,1319.8312,0.9698,1.0287,13.6161,0.9978,Yes,10.1034,0.0281,3.9005,0.0108,28.3525,13.4814,7.8313,0.0009,0.0003,100,0.1285,100.0,,1.2098544426954785
15,45,-70.7823,96.0069,74.4387,80.0236,1.6617,620867.4446,4631518.4605,1316.9996,1.058,1.1345,14.6067,0.9982,Yes,6.2029,0.0172,-0.2,-0.0006,28.2624,13.4018,7.832999999999999,0.0009,0.0003,100,0.1759,100.0,,1.3325585485157667
16,48,-70.965,96.3287,74.3855,80.2235,2.1093,620868.4219,4631518.3549,1314.1652,1.1378,1.2401,15.5893,0.9983,Yes,6.4029,0.0178,-2.5111,-0.006999999999999999,28.3607,13.3251,7.8376,0.0009,0.0003,100,0.2103,100.0,,1.4506326820270827
17,51,-71.2121,95.8714,77.3568,82.7347,2.8813,620869.3887,4631518.2515,1311.3272,1.2063,1.3435,16.5612,0.998,Yes,8.914,0.0248,-4.3109,-0.012,28.8768,13.2378,7.8398,0.0009,0.0003,100,0.0965,100.0,,1.561193827384487
18,54,-71.3333,95.7644,81.7535,87.0456,1.2601,620870.3469,4631518.1539,1308.486,1.2654,1.4411,17.5243,0.9978,Yes,13.2249,0.0367,-0.5441,-0.0015,28.7212,13.152999999999999,7.8419,0.0009,0.0003,100,0.2066,100.0,,1.6623117179680929
